0000000206060000 0000202038000000 00000000C080C000 C080808000000000 2060404000000000 0018181800000000 0C04060000000000 0000000000782000 
0000000206060000 0000380808000000 C080C00000000000 000000F080000000 0000000070180000 0000000000E0E000 0C04060000000000 2078000000000000 
0000000206060000 0038080800000000 6040600000000000 808080C000000000 0000101018080000 00000000C0C0C000 0C04060000000000 0000002020302000 
0000000206060000 E020200000000000 00000000C080C000 0008080818000000 0010103020000000 00C0C0C000000000 0C04060000000000 0000000000782000 
0000000206060000 0000382020000000 C080C00000000000 000000808080C000 0000004040602000 0000001818180000 0C04060000000000 2078000000000000 
0000000206060000 E080800000000000 0000000060206000 0078400000000000 0000386000000000 0000001818180000 0C04060000000000 0000008080C08000 
0000000206060000 E080800000000000 0000001808180000 0078080000000000 000070C000000000 0000000000E0E000 0C04060000000000 00000020F0000000 
0000000206060000 E080800000000000 0000001808180000 0078080000000000 000070C000000000 00000000C0C0C000 0C04060000000000 0000002030202000 
0000000206060000 E080800000000000 00000000C080C000 0078080000000000 000070C000000000 0000003838000000 0C04060000000000 0000000000782000 
0000000206060000 E080800000000000 00000000C080C000 0078080000000000 000070C000000000 0000001818180000 0C04060000000000 0000002020602000 
0000000206060000 E080800000000000 0000302030000000 0078400000000000 000000000030E000 000000C0C0C00000 0C04060000000000 0000081808080000 
00000040C0C00000 00000002020E0000 6020600000000000 000000203C000000 000000000030E000 0018181800000000 0C04060000000000 80C0808000000000 
0008181800000000 00000002020E0000 0000000060406000 000000C080808000 000000001C300000 C0C0C00000000000 0C04060000000000 2030202000000000 
0818180000000000 00000010101C0000 0000000060206000 2020206000000000 0404060200000000 C0C0C00000000000 000000080E020000 0000008080C08000 
0818180000000000 00000010101C0000 6020600000000000 0000006020202000 0404060200000000 00000000C0C0C000 000000080E020000 80C0808000000000 
0818180000000000 00000010101C0000 00000000C080C000 808080C000000000 0404060200000000 6060600000000000 000000080E020000 0000002020602000 
0818180000000000 00000010101C0000 C080C00000000000 000000C080808000 0404060200000000 0000000060606000 000000080E020000 2060202000000000 
0000000040606000 04041C0000000000 2838000000000000 000000C080808000 00000000301C0000 C0C0C00000000000 0000203808000000 0000020206020000 
0000000040606000 04041C0000000000 2838000000000000 000000C080808000 0000202030100000 C0C0C00000000000 00000018080C0000 0000020206020000 
0000000040606000 E080800000000000 0070500000000000 000000C080808000 00000000301C0000 0C0C0C0000000000 0000203808000000 0000020206020000 
0000000040606000 E080800000000000 0070500000000000 000000C080808000 0000202030100000 0C0C0C0000000000 00000018080C0000 0000020206020000 
0000000080C0C000 04041C0000000000 2838000000000000 00000000003C2000 000000C070000000 C0C0C00000000000 0000203808000000 0000020206020000 
0000000080C0C000 04041C0000000000 2838000000000000 00000000003C2000 008080C040000000 0000003838000000 C040600000000000 0000020206020000 
0000000080C0C000 E080800000000000 0070500000000000 00000000003C2000 000000C070000000 0C0C0C0000000000 0000203808000000 0000020206020000 
00000080C0C00000 00000002020E0000 0018081800000000 000000203C000000 000000000030E000 E0E0000000000000 0C04060000000000 0000F04000000000 
2030300000000000 000000008080E000 0000000050700000 C080808000000000 0040406020000000 0C0C0C0000000000 00000018080C0000 0000020206020000 
C0C0400000000000 00000002020E0000 0000000000A0E000 2020206000000000 00008080C0400000 0018181800000000 0C04060000000000 000000003C100000 
0000000030302000 04041C0000000000 2838000000000000 000000808080C000 0000206040400000 C0C0C00000000000 00000018080C0000 0000020206020000 
0000000030302000 04041C0000000000 2838000000000000 808080C000000000 4040602000000000 00000000C0C0C000 00000018080C0000 0000020206020000 
0000000030302000 E080800000000000 0070500000000000 000000808080C000 0000206040400000 0C0C0C0000000000 00000018080C0000 0000020206020000 
0000000030302000 E080800000000000 0C040C0000000000 0078400000000000 000030E000000000 00000000C0C0C000 00000018080C0000 0000020206020000 
00000000C0C08000 E020200000000000 0C040C0000000000 0000020202060000 0000000000386000 00C0C0C000000000 0018103000000000 000000083C000000 
6060400000000000 000000008080E000 0000000050700000 808080C000000000 0010302020000000 0C0C0C0000000000 00000018080C0000 0000020206020000 
C0C0800000000000 00000002020E0000 0000000060406000 000000C080808000 000000001C300000 0018181800000000 0C04060000000000 2020602000000000 
C0C0800000000000 00000010101C0000 2838000000000000 000000C080808000 0404060200000000 0000000060606000 000000080E020000 0000782000000000 
