0000000606020000 0000080838000000 0000705000000000 00000000003C2000 6038000000000000 00000000C0C0C000 0C04060000000000 80C0808000000000 
0000000606020000 000000008080E000 0000705000000000 00000808080C0000 6038000000000000 0000000070700000 0C04060000000000 80C0808000000000 
0000000606020000 000000008080E000 6040600000000000 808080C000000000 0C38000000000000 0000000070700000 00000018080C0000 00041E0000000000 
0000000606020000 00000010101C0000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 0C04060000000000 0008180808000000 
0000000606020000 E080800000000000 0000000060406000 000000C080808000 0008081810000000 0070700000000000 0C04060000000000 00000000083C0000 
00C0C04000000000 0008080E00000000 0000000060206000 0000301010100000 E030000000000000 000000000E0E0000 0C04060000000000 0000008080C08000 
00C0C04000000000 E020200000000000 0000000060206000 00000000021E0000 000000061C000000 0018181800000000 0C04060000000000 0000008080C08000 
0C0C040000000000 00000010101C0000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 000018080C000000 0000020602020000 
0000000030302000 E080800000000000 000000000A0E0000 0078080000000000 000070C000000000 00000000C0C0C000 0C04060000000000 0000001E04000000 
00000000C0C08000 0000080838000000 0000705000000000 C080808000000000 0000000000386000 0000000606060000 0C04060000000000 2078000000000000 
0000001818100000 00000002020E0000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 0C08180000000000 0004060404000000 
0000181810000000 000000008080E000 0000000028380000 0000604040400000 6038000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0000181810000000 000000008080E000 0000604060000000 0000000008780000 6038000000000000 0000000606060000 0C04060000000000 80C0808000000000 
0060604000000000 E080800000000000 0000000060206000 00000000021E0000 000000061C000000 0018181800000000 0C04060000000000 0000008080C08000 
0C0C080000000000 00000002020E0000 0000604060000000 0000808080C00000 000000000030E000 E0E0000000000000 000006040C000000 0010101810000000 
0C0C080000000000 00000002020E0000 0000604060000000 00C0808080000000 E030000000000000 0000000000E0E000 000006040C000000 0000101810100000 
0C0C080000000000 000000008080E000 0000060206000000 0010F00000000000 0000001C30000000 E0E0000000000000 000000C040600000 00000000081E0000 
