0000000606020000 0000000070404000 E0A0000000000000 000000C080808000 00000E1800000000 1C1C000000000000 0000000008382000 0000F02000000000 
0000000606020000 0000000070404000 E0A0000000000000 000000C080808000 0000E03000000000 1C1C000000000000 0000000008382000 00001E0800000000 
0000000606020000 0000000070404000 C080C00000000000 000000C080808000 00000E1800000000 1C1C000000000000 0000000008382000 2020302000000000 
0000000606020000 00000E0808000000 E0A0000000000000 000000C080808000 0000000000386000 1C1C000000000000 0000001070400000 0000F02000000000 
0000000606020000 00000E0808000000 C080C00000000000 000000C080808000 0000000000386000 1C1C000000000000 0000001070400000 2020302000000000 
0000003030100000 000000008080E000 C080C00000000000 3C04000000000000 0000040C08080000 0038380000000000 000000C040600000 0000020206020000 
0000003030100000 8080E00000000000 000000000E0A0000 000000808080C000 0000004040602000 00000E0E00000000 041C100000000000 7820000000000000 
0000181808000000 001C040400000000 C080C00000000000 3C20000000000000 0000000070180000 0000000000E0E000 000020E080000000 0000020206020000 
0000303010000000 000000002020E000 C080C00000000000 3C04000000000000 00380C0000000000 000000C0C0C00000 0000000C08180000 0000020206020000 
000C0C0400000000 000000008080E000 C080C00000000000 3C20000000000000 0010302020000000 0000001818180000 000000C040600000 0000020206020000 
0030301000000000 3808080000000000 C080C00000000000 0404040C00000000 000000000030E000 000000C0C0C00000 0000002038080000 0000020206020000 
0030301000000000 3808080000000000 C080C00000000000 0404040C00000000 000000E030000000 00000000C0C0C000 0000000008382000 0000020206020000 
1818080000000000 0000001C10100000 000000000E0A0000 0000006020202000 0404060200000000 00000000C0C0C000 6020300000000000 8080C08000000000 
0000000030302000 8080E00000000000 000000000E0A0000 000010F000000000 0404060200000000 00000000C0C0C000 0018080C00000000 7820000000000000 
00000000C0C08000 0008080E00000000 C080C00000000000 000000001E020000 0000000000386000 3030300000000000 0C04060000000000 000000F020000000 
00000000C0C08000 3820200000000000 C080C00000000000 000000001E020000 0000000000386000 00000E0E00000000 041C100000000000 000000F020000000 
0000006060400000 8080E00000000000 000000000E0A0000 000000808080C000 0000001010302000 00000E0E00000000 041C100000000000 7820000000000000 
00000C0C08000000 000000002020E000 C080C00000000000 3C20000000000000 001C300000000000 000000C0C0C00000 0000003010180000 0000020206020000 
00000C0C08000000 001C101000000000 C080C00000000000 3C20000000000000 0000000070180000 0000000000E0E000 000020E080000000 0000020206020000 
00000C0C08000000 3820200000000000 C080C00000000000 000000F080000000 0000000070180000 0000000000E0E000 041C100000000000 0000020206020000 
0018181000000000 0000000E02020000 C080C00000000000 3020202000000000 000000000030E000 000000C0C0C00000 0C04060000000000 000000003C080000 
0018181000000000 3820200000000000 C080C00000000000 0404040C00000000 000000000030E000 000000C0C0C00000 0000002038080000 0000020206020000 
0018181000000000 3820200000000000 C080C00000000000 0404040C00000000 000000E030000000 00000000C0C0C000 0000000008382000 0000020206020000 
0C0C080000000000 0000E08080000000 E0A0000000000000 1010103000000000 0000040C08080000 0000000000E0E000 0000004070100000 0000020206020000 
0C0C080000000000 0000E08080000000 0030103000000000 F080000000000000 0000040C08080000 0000000000E0E000 0000004070100000 0000020206020000 
