0000000060602000 00000002020E0000 C080C00000000000 000000808080C000 0000203010100000 3838000000000000 000018080C000000 0404060400000000 
0000000060602000 3820200000000000 C080C00000000000 000000808080C000 00000C3800000000 000000001C1C0000 041C100000000000 0000020602020000 
0000000060602000 3820200000000000 C080C00000000000 000000808080C000 04040C0800000000 000000001C1C0000 0018103000000000 0000020602020000 
0000000060602000 3820200000000000 C080C00000000000 000000808080C000 0404060200000000 000000000E0E0000 0018080C00000000 0000103010100000 
0000000606020000 000000008080E000 0000E0A000000000 F080000000000000 0C38000000000000 0000000070700000 00000018080C0000 00041E0000000000 
0000000606020000 00000010101C0000 000000A0E0000000 F080000000000000 0030E00000000000 0000000000E0E000 0C04060000000000 0008180808000000 
0C0C040000000000 00000010101C0000 000000A0E0000000 F080000000000000 0030E00000000000 0000000000E0E000 000018080C000000 0000020602020000 
1818080000000000 000000008080E000 000000000A0E0000 0000003C04000000 0404060200000000 0000000070700000 6020300000000000 8080C08000000000 
1818080000000000 000000008080E000 000000000A0E0000 6020202000000000 0404060200000000 0000000070700000 0000101C04000000 8080C08000000000 
1818080000000000 000000008080E000 000000000A0E0000 C080808000000000 0404060200000000 0000000070700000 0000101C04000000 2020602000000000 
1818080000000000 000000008080E000 0000000050700000 0000003C20000000 0404060200000000 000000000E0E0000 6020300000000000 8080C08000000000 
1818080000000000 0000E08080000000 E0A0000000000000 00000000021E0000 0404060200000000 0000000000E0E000 0000101C04000000 0000002078000000 
0000000030302000 0008083800000000 1C14000000000000 0000020202060000 000004040C080000 00000000C0C0C000 6020300000000000 8080C08000000000 
0000000030302000 0000003808080000 1C14000000000000 0000020202060000 00080C0404000000 00000000C0C0C000 6020300000000000 8080C08000000000 
0000001818100000 00000002020E0000 000000A0E0000000 F080000000000000 0030E00000000000 0000000000E0E000 0C08180000000000 0004060404000000 
0018181000000000 0000000E02020000 0000000000A0E000 F080000000000000 00008080C0400000 000000001C1C0000 0C04060000000000 0020602020000000 
0C0C080000000000 00000002020E0000 000000A0E0000000 F080000000000000 0030E00000000000 0000000000E0E000 000006040C000000 0000101810100000 
0C0C080000000000 0010101C00000000 0000060206000000 F080000000000000 00000000180E0000 00000000C0C0C000 0020E08000000000 0000002020302000 
0C0C080000000000 0010101C00000000 0000060206000000 C080808000000000 00000000180E0000 00000000C0C0C000 3020600000000000 0000002020302000 
