0818180000000000 000000008080E000 0000006040600000 00000000021E0000 0404060200000000 0000001C1C000000 0020E08000000000 F040000000000000 
0000000040606000 00000002020E0000 C040C00000000000 000000C080808000 00000E1800000000 1C1C000000000000 000000041C100000 2020302000000000 
0000000040606000 00000002020E0000 C040C00000000000 000000C080808000 0000081810100000 1C1C000000000000 000006040C000000 2020302000000000 
0000000040606000 00000002020E0000 C040C00000000000 000000C080808000 0000203010100000 3838000000000000 000018080C000000 0404060400000000 
0000000040606000 3820200000000000 C040C00000000000 000000C080808000 00000C3800000000 000000001C1C0000 041C100000000000 0000020602020000 
0000000040606000 3820200000000000 C040C00000000000 000000C080808000 04040C0800000000 000000001C1C0000 0018103000000000 0000020602020000 
0000000040606000 3820200000000000 C040C00000000000 000000C080808000 0404060200000000 000000000E0E0000 0018080C00000000 0000103010100000 
0000000406060000 0000007010100000 0000C080C0000000 0000180808080000 0404060200000000 0000000000E0E000 0838200000000000 F040000000000000 
000000080C0C0000 04041C0000000000 0000007050000000 0000808080C00000 000000000030E000 3838000000000000 C040600000000000 0000020602020000 
000000080C0C0000 000000008080E000 0000003010300000 3C20000000000000 000080C040400000 001C1C0000000000 C040600000000000 0000020602020000 
000000080C0C0000 000000008080E000 C040C00000000000 3C20000000000000 0000203010100000 001C1C0000000000 000000C040600000 0000020602020000 
000000080C0C0000 0000007010100000 0000000000A0E000 3C20000000000000 00008080C0400000 001C1C0000000000 C040600000000000 0000020602020000 
0000001018180000 000000008080E000 C040C00000000000 0000060202020000 0000080C04040000 1C1C000000000000 000000C040600000 2020302000000000 
0000001018180000 00000E0202000000 0000000000A0E000 C040404000000000 00008080C0400000 1C1C000000000000 0000000C04060000 2020302000000000 
0000001018180000 00000E0202000000 C040C00000000000 000000808080C000 0000004040602000 1C1C000000000000 0000000C04060000 2020302000000000 
00000080C0C00000 00000002020E0000 C040C00000000000 3C04000000000000 000000000030E000 0000001C1C000000 0030206000000000 00081E0000000000 
00000080C0C00000 00000002020E0000 C040C00000000000 3C04000000000000 000000000030E000 0038380000000000 000006040C000000 0000007810000000 
0000080C0C000000 000000008080E000 C040C00000000000 00000000101E0000 0004060202000000 0030303000000000 000000C040600000 3C08000000000000 
000080C0C0000000 0008083800000000 0050700000000000 00000000021E0000 000000061C000000 0000000000E0E000 0C04060000000000 F020000000000000 
