0000000606020000 00000010101C0000 0000C080C0000000 0018080808000000 70C0000000000000 0000000000E0E000 0C04060000000000 0020302020000000 
0000000606020000 00000010101C0000 0000C080C0000000 0030202020000000 70C0000000000000 0000000000E0E000 0C04060000000000 0008180808000000 
0000000606020000 00E0202000000000 0000C080C0000000 00000808080C0000 7018000000000000 0000000000E0E000 0C04060000000000 0000101030100000 
0000000606020000 0038202000000000 0000C080C0000000 00000808080C0000 70C0000000000000 0000000000E0E000 0C04060000000000 0000101030100000 
0000000606020000 00E0808000000000 0000002838000000 00000000003C2000 7018000000000000 00000000C0C0C000 0C04060000000000 0000781000000000 
0000000606020000 7040400000000000 0030203000000000 00808080C0000000 00000000301C0000 0000000000E0E000 0C04060000000000 0008180808000000 
0000003030100000 00000002020E0000 0050700000000000 00808080C0000000 040C080800000000 0000000000E0E000 000006040C000000 7820000000000000 
0C0C040000000000 000000008080E000 0000000050700000 0000021E00000000 40C0808000000000 000000000E0E0000 3010180000000000 0020602020000000 
0C0C040000000000 00000010101C0000 0000C080C0000000 0030202020000000 70C0000000000000 0000000000E0E000 000018080C000000 0000020602020000 
0C0C040000000000 7040400000000000 0030203000000000 00808080C0000000 00000000301C0000 0000000000E0E000 000018080C000000 0000020602020000 
00000000C0C08000 00001C0404000000 0000001808180000 0000020202060000 40C0808000000000 1C1C000000000000 0000000030206000 2020602000000000 
0000001818100000 00000002020E0000 0000C080C0000000 0030202020000000 70C0000000000000 0000000000E0E000 0C08180000000000 0004060404000000 
0000060604000000 1C10100000000000 000000000A0E0000 00000000F0100000 40C0808000000000 0000000000E0E000 000C081800000000 2020602000000000 
0030302000000000 0008080E00000000 0000C080C0000000 00000000021E0000 70C0000000000000 0000000000E0E000 0C04060000000000 000000103C000000 
00C0C08000000000 000000008080E000 0000000050700000 0000180808080000 7018000000000000 0000000606060000 0C04060000000000 0020203020000000 
00C0C08000000000 000000008080E000 0000283800000000 0000020202060000 000004040C080000 0000000070700000 041C100000000000 7820000000000000 
00C0C08000000000 000000008080E000 0000000602060000 6020202000000000 000000000C380000 1C1C000000000000 0000001070400000 00001E0800000000 
00C0C08000000000 000000008080E000 00000C040C000000 0000020202060000 0000003860000000 1C1C000000000000 6020300000000000 0000000010780000 
00C0C08000000000 000000008080E000 0000180818000000 0000000040780000 7018000000000000 0000000606060000 0C04060000000000 0020203020000000 
00C0C08000000000 00000E0202000000 00000000C080C000 0000003C20000000 000000001C060000 1C1C000000000000 6020300000000000 0000000000782000 
00C0C08000000000 1C04040000000000 00000000141C0000 0018080808000000 00000030E0000000 0000000000E0E000 6020300000000000 0000020602020000 
0C0C080000000000 00000002020E0000 0000C080C0000000 0030202020000000 70C0000000000000 0000000000E0E000 000006040C000000 0000101810100000 
0C0C080000000000 0010101C00000000 00000000C080C000 0000060202020000 70C0000000000000 000000001C1C0000 0020E08000000000 0000002020602000 
0C0C080000000000 0010101C00000000 00000000C080C000 0000060202020000 40C0808000000000 000000001C1C0000 3020600000000000 0000002020602000 
6060400000000000 00000002020E0000 1C14000000000000 00808080C0000000 0000061C00000000 0000000000E0E000 0008382000000000 000000003C100000 
