0018181000000000 0000000E02020000 0000000000A0E000 3020202000000000 40C0808000000000 000000001C1C0000 0C04060000000000 00004040C0400000 
0018181000000000 0000000E02020000 0000000000A0E000 3020202000000000 00008080C0400000 000000001C1C0000 0C04060000000000 40C0404000000000 
0030302000000000 0000001C10100000 0000000000A0E000 3C04000000000000 40C0808000000000 000000000E0E0000 00080E0200000000 00004040C0400000 
0030302000000000 0000001C10100000 0000000000A0E000 3C04000000000000 00008080C0400000 000000000E0E0000 00080E0200000000 40C0404000000000 
00C0C08000000000 04041C0000000000 0000000C080C0000 7808000000000000 0000001010302000 00000000C0C0C000 0030206000000000 0000020206020000 
00C0C08000000000 000000008080E000 0000006040600000 0000301010100000 0404060200000000 000000000E0E0000 0018080C00000000 7820000000000000 
00C0C08000000000 1C04040000000000 00000000141C0000 0018080808000000 00000070C0000000 0000000000E0E000 6020300000000000 0000020602020000 
0C0C080000000000 000004041C000000 00000000C080C000 0000020202060000 70C0000000000000 0000E0E000000000 0030101800000000 0000000000782000 
6060400000000000 008080E000000000 00000000C080C000 0000060202020000 0000380C00000000 1C1C000000000000 000000101C040000 0000000000782000 
6060400000000000 008080E000000000 00000000C080C000 0000060202020000 0000080C04040000 1C1C000000000000 0000301018000000 0000000000782000 
