0818180000000000 00000010101C0000 0000000A0E000000 0000006020202000 40C0808000000000 00000000C0C0C000 3020600000000000 0404060400000000 
40C0C00000000000 002020E000000000 0000000000A0E000 3010101000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
40C0C00000000000 002020E000000000 0000000000A0E000 3010101000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0400000 
40C0C00000000000 002020E000000000 00141C0000000000 00000010F0000000 00000000061C0000 0000000000E0E000 0000020E08000000 3C08000000000000 
40C0C00000000000 002020E000000000 00141C0000000000 00000010F0000000 0000020206040000 0000000000E0E000 0000000C08180000 3C08000000000000 
40C0C00000000000 000000008080E000 0000000A0E000000 2020203000000000 00000000301C0000 1C1C000000000000 000000C040600000 00001E0400000000 
40C0C00000000000 000000008080E000 0000000A0E000000 2020203000000000 00000000301C0000 1818180000000000 000000C040600000 0404060400000000 
40C0C00000000000 000000008080E000 0028380000000000 0000003C20000000 0004060202000000 000000001C1C0000 000000C040600000 3C10000000000000 
40C0C00000000000 000000008080E000 1C14000000000000 2020203000000000 00000000301C0000 0000000E0E000000 000000C040600000 00081E0000000000 
40C0C00000000000 000000008080E000 1C14000000000000 2020203000000000 00000000301C0000 0000060606000000 000000C040600000 0008180808000000 
40C0C00000000000 000000008080E000 0000060206000000 3C04000000000000 00000000301C0000 0038380000000000 000000C040600000 0000003C08000000 
40C0C00000000000 000000008080E000 0000060206000000 3C04000000000000 00000000301C0000 0030303000000000 000000C040600000 0008080C08000000 
40C0C00000000000 000000008080E000 0030203000000000 3C04000000000000 00000000301C0000 0000000E0E000000 000000C040600000 00081E0000000000 
40C0C00000000000 000000008080E000 0030203000000000 3C04000000000000 00000000301C0000 0000060606000000 000000C040600000 0008180808000000 
40C0C00000000000 000000E080800000 0028380000000000 00000000003C2000 0004060202000000 0000001C1C000000 000000006040C000 3C10000000000000 
40C0C00000000000 000000E080800000 00000E0A00000000 00000000003C2000 2020301000000000 1C1C000000000000 000000006040C000 000000041E000000 
40C0C00000000000 00001C1010000000 0000000060206000 2020206000000000 00000000061C0000 1C1C000000000000 0000020E08000000 0000008080C08000 
40C0C00000000000 00001C1010000000 0000000060206000 2020206000000000 0000020206040000 1C1C000000000000 0000000C08180000 0000008080C08000 
0000000080C0C000 0000000038202000 00A0E00000000000 7840000000000000 00000000061C0000 00000E0E00000000 041C100000000000 000000F040000000 
0000000080C0C000 00E0808000000000 0000005070000000 00000000003C2000 7018000000000000 0000000E0E000000 0C04060000000000 0000782000000000 
0000001018180000 00008080E0000000 0028380000000000 0404040C00000000 0000020206040000 0000000000E0E000 00C0406000000000 7810000000000000 
0000001018180000 3808080000000000 0000602060000000 0404040C00000000 0000020206040000 0000000000E0E000 4070100000000000 008080C080000000 
0004060600000000 0020203800000000 7050000000000000 0000004078000000 00000000061C0000 0000000000E0E000 0C08180000000000 0080C08080000000 
0004060600000000 7040400000000000 0030203000000000 0000000878000000 00000000061C0000 0000000000E0E000 0C08180000000000 008080C080000000 
0020303000000000 0008080E00000000 7050000000000000 0000004078000000 00000000061C0000 0000000000E0E000 0C04060000000000 0080C08080000000 
0080C0C000000000 00000004041C0000 00000000C080C000 0C08080800000000 0004060202000000 7070000000000000 0000301018000000 0000002020602000 
0080C0C000000000 000002020E000000 000C040C00000000 00000000003C2000 4060202000000000 00000000C0C0C000 0000181030000000 3C10000000000000 
4060600000000000 008080E000000000 0000000000A0E000 3010101000000000 00000000061C0000 0C0C0C0000000000 0000020E08000000 00000000F0400000 
4060600000000000 008080E000000000 0000000000A0E000 3010101000000000 0000020206040000 0C0C0C0000000000 0000000C08180000 00000000F0400000 
4060600000000000 008080E000000000 00141C0000000000 00000010F0000000 00000000061C0000 0000000000E0E000 0000020E08000000 3C08000000000000 
4060600000000000 008080E000000000 00141C0000000000 00000010F0000000 0000020206040000 0000000000E0E000 0000000C08180000 3C08000000000000 
0000000C0C040000 00000E0202000000 00A0E00000000000 7840000000000000 0000000000386000 0000007070000000 041C100000000000 0000008080C08000 
0000003030100000 3820200000000000 0000000000A0E000 00000808080C0000 40C0808000000000 0000060606000000 041C100000000000 00004040C0400000 
0000003030100000 3820200000000000 0000000000A0E000 00000808080C0000 00008080C0400000 0000060606000000 041C100000000000 40C0404000000000 
00C0C04000000000 00001C1010000000 0000000060206000 6020202000000000 00000000061C0000 1C1C000000000000 0000020E08000000 0000008080C08000 
00C0C04000000000 00001C1010000000 0000000060206000 6020202000000000 0000020206040000 1C1C000000000000 0000000C08180000 0000008080C08000 
0C0C040000000000 008080E000000000 7050000000000000 00000010F0000000 00000000061C0000 0000000000E0E000 0000020E08000000 0020780000000000 
0C0C040000000000 008080E000000000 7050000000000000 00000010F0000000 0000020206040000 0000000000E0E000 0000000C08180000 0020780000000000 
0C0C040000000000 7010100000000000 00000A0E00000000 0000004078000000 00000000061C0000 0000000000E0E000 0060203000000000 0080C08080000000 
1818080000000000 00000010101C0000 0000000A0E000000 00808080C0000000 0040406020000000 0000000000E0E000 6020300000000000 0404060400000000 
1818080000000000 0040407000000000 0000000A0E000000 00808080C0000000 00000000301C0000 0000000000E0E000 6020300000000000 0404060400000000 
