0000080C0C000000 000000E080800000 141C000000000000 0000060202020000 2020301000000000 C0C0C00000000000 000000006040C000 00000000103C0000 
0080C0C000000000 00000000E0808000 000000000A0E0000 0000003C04000000 0404060200000000 0038380000000000 0000000010704000 F040000000000000 
0000060602000000 00000000E0808000 0000283800000000 0000000000784000 000000001C060000 00C0C0C000000000 041C100000000000 F020000000000000 
6060200000000000 00000004041C0000 141C000000000000 0000060202020000 0000187000000000 00000000C0C0C000 0000000838200000 8080C08000000000 
6060200000000000 00000000E0808000 141C000000000000 0000060202020000 0000187000000000 0000000C0C0C0000 0000000010704000 8080C08000000000 
C0C0400000000000 00000008080E0000 141C000000000000 2020206000000000 000000000070C000 0000060606000000 0000181030000000 00008080C0800000 
0000000060604000 00000002020E0000 141C000000000000 000000C080808000 00000E1800000000 E0E0000000000000 000000041C100000 0000F02000000000 
0000000060604000 00000002020E0000 141C000000000000 000000C080808000 00000E1800000000 C0C0C00000000000 000000041C100000 2020302000000000 
0000000060604000 00000002020E0000 141C000000000000 000000C080808000 0000E03000000000 E0E0000000000000 000000041C100000 00001E0800000000 
0000000060604000 00000002020E0000 141C000000000000 000000C080808000 0000081810100000 E0E0000000000000 000006040C000000 0000F02000000000 
0000000060604000 00000002020E0000 141C000000000000 000000C080808000 0000081810100000 C0C0C00000000000 000006040C000000 2020302000000000 
0000060604000000 E080800000000000 141C000000000000 00000000021E0000 0060380000000000 00000000C0C0C000 0000000838200000 000040F000000000 
3030200000000000 00000002020E0000 0000006040600000 000000808080C000 040C080800000000 C0C0C00000000000 000006040C000000 0000101030100000 
C0C0800000000000 00000002020E0000 0000003010300000 000000808080C000 040C080800000000 3030300000000000 000006040C000000 0000404060400000 
C0C0800000000000 00000002020E0000 0000003010300000 000808080C000000 000040C080800000 3030300000000000 000000006040C000 0404060400000000 
C0C0800000000000 00000E0202000000 141C000000000000 000000808080C000 2020301000000000 0000000038380000 0000000C04060000 0000406040400000 
